98.2759  3     L= 218475
98.2759  3     L= 218475
98.2759  3     L= 218475
98.2759  3     L= 218475
98.2759  3     L= 218475
98.2759  3     L= 211373
99.4253  4     L= 0586169
99.4253  4     L= 0586169
99.4253  4     L= 0586169
99.4253  4     L= 0586169
99.4253  3     L= 218475
99.4253  3     L= 218475
99.4253  3     L= 0586169      
99.4253  3     L= 0586169
99.4253  3     L= 0586169
99.4253  3     L= 0586169
99.4253  3     L= 218475
99.4253  3     L= 218475
99.4253  2     L= 218475
99.4253  2     L= 218475
